x,f_x
1.0,-6.0
1.1578947368421053,-5.763376585508091
1.3157894736842106,-5.353550080186616
1.4736842105263157,-4.746901880740634
1.631578947368421,-3.919813383875201
1.7894736842105263,-2.8486659862953787
1.9473684210526314,-1.5098410847062267
2.1052631578947367,0.1202799241871988
2.263157894736842,2.0653156436798357
2.4210526315789473,4.3488846770666285
2.5789473684210527,6.994605627642514
2.7368421052631575,10.026097098702426
2.894736842105263,13.466977693541324
3.052631578947368,17.34086601545414
3.2105263157894735,21.671380667735818
3.3684210526315788,26.482140253681287
3.526315789473684,31.796763376585503
3.6842105263157894,37.63886863974339
3.8421052631578947,44.03207464644992
4.0,51.0
