t,y
0.0,1.010849080751429
0.1,0.8492938687632422
0.2,0.7804965795984224
0.30000000000000004,0.7427128364186752
0.4,0.6429633540982483
0.5,0.654531520147964
0.6000000000000001,0.5049230954870275
0.7000000000000001,0.5933628826917087
0.8,0.5631859754915619
0.9,0.5479921225213522
1.0,0.558823598936626
1.1,0.49677977095502485
1.2000000000000002,0.5501473396379003
1.3,0.5667660480682827
1.4000000000000001,0.5978717489616936
1.5,0.5329864551216817
1.6,0.5162941974123232
1.7000000000000002,0.5141529638790243
1.8,0.5417096014174523
1.9000000000000001,0.5053833489896634
2.0,0.4570715461885638
2.1,0.46199828313831526
2.2,0.4194378682933047
2.3000000000000003,0.4119637915489803
2.4000000000000004,0.32489974450827475
2.5,0.2961441546531307
2.6,0.2515040057375281
2.7,0.17430107261556402
2.8000000000000003,0.18007554710637252
2.9000000000000004,0.1304838775177635
3.0,0.0731921599058738
